timestamp,utilized_mw,available_mw,source_file,is_gap,hour,day,dayofweek,month,year,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,lag_1h,lag_24h,lag_168h,roll_24h_mean,roll_168h_mean,util_ratio
2025-02-05 19:00:00,,,,1,19,5,2,2,2025,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 20:00:00,,,,1,20,5,2,2,2025,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 21:00:00,,,,1,21,5,2,2,2025,0,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 22:00:00,,,,1,22,5,2,2,2025,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 23:00:00,,,,1,23,5,2,2,2025,0,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 00:00:00,,,,1,0,6,3,2,2025,0,0.0,1.0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 01:00:00,,,,1,1,6,3,2,2025,0,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 02:00:00,,,,1,2,6,3,2,2025,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 03:00:00,,,,1,3,6,3,2,2025,0,0.7071067811865475,0.7071067811865476,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 04:00:00,,,,1,4,6,3,2,2025,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 05:00:00,,,,1,5,6,3,2,2025,0,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 06:00:00,,,,1,6,6,3,2,2025,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 07:00:00,,,,1,7,6,3,2,2025,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 08:00:00,,,,1,8,6,3,2,2025,0,0.8660254037844387,-0.49999999999999983,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 09:00:00,,,,1,9,6,3,2,2025,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 10:00:00,,,,1,10,6,3,2,2025,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 11:00:00,,,,1,11,6,3,2,2025,0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 12:00:00,,,,1,12,6,3,2,2025,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 13:00:00,,,,1,13,6,3,2,2025,0,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 14:00:00,,,,1,14,6,3,2,2025,0,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 15:00:00,,,,1,15,6,3,2,2025,0,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 16:00:00,,,,1,16,6,3,2,2025,0,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 17:00:00,,,,1,17,6,3,2,2025,0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 18:00:00,,,,1,18,6,3,2,2025,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 19:00:00,,,,1,19,6,3,2,2025,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 20:00:00,,,,1,20,6,3,2,2025,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 21:00:00,,,,1,21,6,3,2,2025,0,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 22:00:00,,,,1,22,6,3,2,2025,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-06 23:00:00,,,,1,23,6,3,2,2025,0,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-07 00:00:00,,,,1,0,7,4,2,2025,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-07 01:00:00,,,,1,1,7,4,2,2025,0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-07 02:00:00,,,,1,2,7,4,2,2025,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-07 03:00:00,,,,1,3,7,4,2,2025,0,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-07 04:00:00,,,,1,4,7,4,2,2025,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-07 05:00:00,,,,1,5,7,4,2,2025,0,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-07 06:00:00,,,,1,6,7,4,2,2025,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-07 07:00:00,,,,1,7,7,4,2,2025,0,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-07 08:00:00,,,,1,8,7,4,2,2025,0,0.8660254037844387,-0.49999999999999983,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-07 09:00:00,,,,1,9,7,4,2,2025,0,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-07 10:00:00,,,,1,10,7,4,2,2025,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-07 11:00:00,,,,1,11,7,4,2,2025,0,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-07 12:00:00,,,,1,12,7,4,2,2025,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-07 13:00:00,,,,1,13,7,4,2,2025,0,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-07 14:00:00,,,,1,14,7,4,2,2025,0,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-07 15:00:00,,,,1,15,7,4,2,2025,0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,,,,,,
